"etag_id";"etagt_id";"etagt_language";"etagt_text";"etag_parent_id";"etag_weight";"etag_type"
"1080";"1239";"fr";"Hypothermie";"1064";"619";"Normal"
"1085";"1241";"fr";"Onde J d'osborn";"1080";"620";"Normal"
"1086";"1243";"fr";"Médicamenteux / toxique";"0";"621";"Catégorie"
"1087";"1245";"fr";"Antiarythmique de classe 1 (bloqueurs sodiques)";"1086";"622";"Normal"
"1094";"1247";"fr";"surdosage";"1087";"623";"Associé"
"1095";"1249";"fr";"imprégnation";"1087";"624";"Associé"
"1096";"1251";"fr";"Antiarythmique de classe 2 (bétabloquants)";"1086";"625";"Normal"
"1100";"1253";"fr";"surdosage";"1096";"626";"Associé"
"1101";"1255";"fr";"imprégnation";"1096";"627";"Associé"
"1102";"1257";"fr";"Antiarythmique de classe 3 (bloqueurs potassiques)";"1086";"628";"Normal"
"1107";"1259";"fr";"surdosage";"1102";"629";"Associé"
"1108";"1261";"fr";"imprégnation";"1102";"630";"Associé"
"1109";"1263";"fr";"Antiarythmique de classe 4 (bloqueurs calciques)";"1086";"631";"Normal"
"1113";"1265";"fr";"surdosage";"1109";"632";"Associé"
"1114";"1267";"fr";"imprégnation";"1109";"633";"Associé"
"1115";"1269";"fr";"Digitaliques";"1086";"634";"Normal"
"1120";"1271";"fr";"surdosage";"1115";"635";"Associé"
"1121";"1273";"fr";"imprégnation";"1115";"636";"Associé"
"1122";"1275";"fr";"Stabilisateurs de membrane";"1086";"637";"Normal"
"1127";"1277";"fr";"Inhibiteurs de la recapture de la sérotonine";"1086";"638";"Normal"
"1128";"1279";"fr";"surdosage";"1127";"639";"Associé"
"1129";"1281";"fr";"imprégnation";"1127";"640";"Associé"
"1130";"1283";"fr";"Neuroleptiques";"1086";"641";"Normal"
"1131";"1285";"fr";"surdosage";"1130";"642";"Associé"
"1132";"1287";"fr";"imprégnation";"1130";"643";"Associé"
"1133";"1289";"fr";"Anti-dépresseurs tricycliques";"1086";"644";"Normal"
"1135";"1291";"fr";"surdosage";"1133";"645";"Associé"
"1136";"1293";"fr";"imprégnation";"1133";"646";"Associé"
"1137";"1295";"fr";"Médicamenteux autre";"1086";"647";"Normal"
"1138";"1297";"fr";"Cardiopathie / contexte";"0";"648";"Catégorie"
"1139";"1299";"fr";"Absence de cardiopathie (coeur sain)";"1138";"649";"Normal"
"1140";"1301";"fr";"Amylose";"1138";"650";"Normal"
"1142";"1303";"fr";"Athlète / sportif";"1138";"651";"Normal"
"1147";"1305";"fr";"Cardiomyopathie dilatée";"1138";"652";"Normal"
"1148";"1307";"fr";"Cardiomyopathie hypertrophique";"1138";"653";"Normal"
"1151";"1309";"fr";"ST- secondaire à une hypertrophie ventriculaire";"1148";"654";"Associé"
"1152";"1311";"fr";"Cardiomyopathie restrictive";"1138";"655";"Normal"
"1153";"1313";"fr";"Cardiopathie arythmogène (dont dysplasie arythmogène du ventricule droit: DAVD)";"1138";"656";"Normal"
"1154";"1315";"fr";"Onde Epsilon";"1153";"657";"Normal"
"1157";"1317";"fr";"Cardiopathie autre";"1138";"658";"Normal"
"1158";"1319";"fr";"Cardiopathie congénitale";"1138";"659";"Normal"
"1159";"1321";"fr";"Tétrallogie de Fallot";"1158";"660";"Normal"
"1162";"1323";"fr";"Transposition des gros vaisceaux";"1158";"661";"Normal"
"1165";"1325";"fr";"Communication inter-ventriculaire";"1158";"662";"Normal"
"1168";"1327";"fr";"Communication inter-auriculaire";"1158";"663";"Normal"
"1172";"1329";"fr";"Double discordance";"1158";"664";"Normal"
"1175";"1331";"fr";"Ventricule unique";"1158";"665";"Normal"
"1178";"1333";"fr";"Maladie d'Ebstein";"1158";"666";"Normal"
"1183";"1335";"fr";"Cardiopathie ischémique";"1138";"667";"Normal"
"1185";"1337";"fr";"Cardiopathie rythmique";"1138";"668";"Normal"
"1187";"1339";"fr";"Cardiopathie toxique";"1138";"669";"Normal"
"1188";"1341";"fr";"Cardiopathie aux anthracyclines";"1187";"670";"Normal"
"1189";"1343";"fr";"Cardiopathie chimiothérapie autre";"1187";"671";"Normal"
"1190";"1345";"fr";"Cardiopathie alcoolique";"1187";"672";"Normal"
"1191";"1347";"fr";"Coeur pulmonaire aigü (embolie pulmonaire)";"1138";"673";"Normal"
"1196";"1349";"fr";"Coeur pulmonaire chronique";"1138";"674";"Normal"
"1199";"1351";"fr";"Dysjonction annulaire mitrale";"1138";"675";"Normal"
"1201";"1353";"fr";"Epanchement péricardique";"1138";"676";"Normal"
"1203";"1355";"fr";"Hémochromatose";"1138";"677";"Normal"
"1205";"1357";"fr";"Hypertension artérielle pulmonaire (HTAP)";"1138";"678";"Normal"
"1208";"1359";"fr";"Insuffisance aortique";"1138";"679";"Normal"
"1210";"1361";"fr";"Insuffisance mitrale";"1138";"680";"Normal"
"1212";"1363";"fr";"Laminopathies";"1138";"681";"Normal"
"1215";"1365";"fr";"Maladie de Danon";"1138";"682";"Normal"
"1216";"1367";"fr";"Maladie de Fabry";"1138";"683";"Normal"
"1218";"1369";"fr";"Myocardite";"1138";"684";"Normal"
"1219";"1371";"fr";"sus-décalage ST pathologique";"1218";"685";"Associé"
"1221";"1373";"fr";"Myopathie de Steinert";"1138";"686";"Normal"
"1224";"1375";"fr";"Rétrécissement aortique";"1138";"687";"Normal"
"1226";"1377";"fr";"Rétrécissement mitral";"1138";"688";"Normal"
"1228";"1379";"fr";"Tako-tsubo";"1138";"689";"Normal"
"1230";"1381";"fr";"sus-décalage ST pathologique";"1228";"690";"Associé"
"1232";"1383";"fr";"Tamponnade";"1138";"691";"Normal"
"1233";"1385";"fr";"Alternance electrique";"1232";"692";"Normal"
"1235";"1387";"fr";"Transplantation cardiaque";"1138";"693";"Normal"
"1";"1389";"fr";"Autre";"0";"694";"Catégorie"
"3790";"2861";"fr";"Autre";NULL;"694";"Catégorie"
"2";"1391";"fr";"Aberration de conduction";"1";"695";"Normal"
"3791";"2863";"fr";"Aberration de conduction";"3790";"695";"Normal"
"3";"1393";"fr";"Amiodarone";"1";"696";"Normal"
"3792";"2865";"fr";"Amiodarone";"3790";"696";"Normal"
"7";"1395";"fr";"Artefact (spike) de stimulation atriale";"1";"697";"Normal"
"3793";"2867";"fr";"Artefact (spike) de stimulation atriale";"3790";"697";"Normal"
"8";"1397";"fr";"Artefact (spike) de stimulation ventriculaire";"1";"698";"Normal"
